english,japanese,exampleEn,exampleJa
wobble,ぐらぐらする，ふらふら揺れる,The buildings began to wobble during the sizeable earthquake.,ビルは大きな地震でぐらぐらと揺れ出した。
tenable,(理論などが)批判に耐え得る,This hypothesis is no longer tenable because of the finding.,その発見によってこの仮説はもはや弁護できなくなっている。
apace,速やかに，急速に,The government’s research into alternative energy continued apace.,政府の代替エネルギー研究は急速に進んだ。
inductive,帰納的な,Inductive reasoning involves using particular examples to reach a general conclusion.,帰納的推論は一般的結論に達するために特定の例を用いることを伴う。
phobia,恐怖症，病的恐怖[嫌悪],Some people have a phobia of the number thirteen., 13という数に病的恐怖を感じる人もいる。
chink,(細長い)裂け目，割れ目，隙間,The children squeezed through a chink in the fence.,子どもたちは柵の割れ目から入り込んだ。
gimmick,巧妙な仕掛け，新機軸，からくり,The news story was nothing but a marketing gimmick.,そのニュースはマーケティング上の仕掛けにすぎなかった。
masquerade,(~の)ふりをする,Many wealthy politicians like to masquerade as middle-class people.,裕福な政治家の多くは中産階級の人のふりをしたがる。
loath,(~するのが)気の進まない，嫌で,The guard was loath to let the strangers into the building.,警備員は知らない人を建物に入れるのを嫌がった。
roundly,厳しく;完全に,The committee’s report roundly criticised our handling of the situation.,委員会の報告は，われわれの状況の対処の仕方を厳しく批判した。
aqueduct,送水路;(高架式)水道橋,Many Roman aqueducts are still standing to this day.,多くのローマ時代の送水路が今日に至るまで残っている。
malleable,(金属が)可鍛性の;順応性のある,Copper is used for wire because of its malleable quality.,銅は可鍛性の性質があるのでワイヤーとして使用される。
quadruple,4倍になる,Sales are expected to quadruple over the next five years.,売り上げは向こう 5年間で4倍になると期待されている。
scuffle,乱闘,The robber was arrested after a scuffle with the police.,強盗は警官との乱闘の末逮捕された。
audacious,大胆不敵な; 無謀な,His audacious criticisms of the government made him famous.,政府を大胆不敵に批判したことで彼は有名になった。
ethereal,霊妙な,The old church had an ethereal atmosphere.,その古い教会には霊妙な雰囲気があった。
opportunism,日和見主義; 御都合主義,The new policy was seen as political opportunism.,その新しい政策は政治的御都合主義と見なされた。
tout,を（〜と）褒めちぎる; 推奨する,Biofuels are touted as the answer to global warming.,生物燃料は地球温暖化の解決策だと絶賛されている。
curative,病気に効く; 治療効果のある,Many people trusted the hot spring’s curative powers.,多くの人々はその温泉の治療効果を信じた。
rendition,（視覚）表現; 描写; 解釈; 演奏,It is a new rendition of an old song.,それは昔の歌を新しく演奏し直したものだ。
topsoil,表土,Most of the topsoil had been washed away.,表土のほとんどが洗い流されていた。
exorbitant,法外な; 途方もない,Despite the exorbitant prices; the hotel was full.,法外な宿泊料にもかかわらず，そのホテルは満室だった。
proliferate,急増［まん延］する; 拡散する,Rabbits have proliferated and caused environmental problems.,ウサギが増殖して環境問題を引き起こしている。
replenish,を補給する; 補充する,The water in the tank was replenished by rainfall.,タンクの水は雨水で補充された。
hiccup,しゃっくり; 一時的な障害,There is no agreed cure for the hiccups.,しゃっくりを止める決まった方法はない。
longitude,経度,All longitudes are measured in relation to Greenwich; London.,全ての経度はロンドンのグリニッジを基に計測される。
aquifer,帯水層,Only freshwater aquifers are useful for wells.,淡水の帯水層だけが井戸に利用する価値がある。
presuppose,（物事が）を前提とする,The new plan presupposed government funding.,新しい計画は政府の資金拠出を前提としていた。
accentuate,を際立たせる; 強調する,His poverty was accentuated by his friends’ wealth.,友人たちの裕福さが彼の貧しさを際立たせていた。
counterproductive,逆効果の; 非生産的な,The president’s visit was counterproductive and led to an increase in rioting.,大統領の訪問は逆効果で，暴動の増大につながった。
decrepit,老いぼれた; 老衰した,The old man was so decrepit he could hardly walk.,その老人は老いぼれてほとんど歩くことができなかった。
extrinsic,外在的な; 非本質的な,Students often choose classes for extrinsic reasons.,学生はしばしば外的な理由で授業を選択する。
ultrasonic,超音波の,Ultrasonic cleaners use water and very high-pitched sound waves.,超音波洗浄機は水と非常に高い波長の音を使う。
inhalation,吸入,Inhalation of smoke can damage the lungs.,煙を吸入すると肺に損傷を与えることがある。
ooze,（液体などが）にじみ出る,Blood was oozing from the bandage around his leg.,彼の脚に巻いた包帯から血がにじみ出ていた。
overhang,張り出し; 突出部分,He sheltered from the rain under the overhang.,彼は建物の張り出しの下で雨をしのいだ。
preservative,防腐剤; 保存剤,Some people refuse to eat food containing preservatives.,保存料の入った食品を食べない人もいる。
engender,を生じさせる; 引き起こす,The miners’ strike engendered further strikes.,炭鉱員たちのストライキはさらなるストライキを生んだ。
pulley,滑車,Pulleys have been used to lift objects since ancient times.,滑車は物を持ち上げるために古代から使われてきた。
infirmity,病気; 疾患; 虚弱; 病弱,The old man suffered from various infirmities.,その老人はさまざまな疾患を患っていた。
encode,を暗号化する,A hidden message was encoded in the broadcast.,その放送の中には隠されたメッセージが暗号化されていた。
permeate,に染み込む; 浸透する,The smell of mould permeated every corner of the room.,かびの臭いが部屋の隅々に染み渡った。
runny,半液体状の; 流れやすい,You need a runny cheese to make this cake.,このケーキを作るには柔らかい状態のチーズが必要だ。
tightrope,綱渡りの綱,The two superpowers walked a tightrope between war and peace.,2大超大国は戦争と平和の間の綱渡りをした。
incendiary,焼夷性の,The use of incendiary bombs caused much suffering.,焼夷弾の使用は大きな被害をもたらした。
septic,バクテリアで浄化する; 腐敗性の,Septic tanks were used to treat waste water.,排水を処理するために浄化槽が用いられた。
inexhaustible,無尽蔵の,Solar power is seen as an inexhaustible energy source.,太陽エネルギーは無尽蔵のエネルギー源と見なされている。
acronym,頭字語; 頭文字語,IELTS is an acronym for International English Language Testing System.,IELTSは International English Language Testing System の頭字語である。
roster,名簿; 登録簿; 当番表,Your name will be checked against a roster of examinees.,あなたの名前は受験者名簿と照合されます。
treadmill,単調な仕事,His job came to seem a pointless treadmill.,彼の仕事は意味のない単調な仕事に思えるようになった。
bespectacled,眼鏡をかけた,The bespectacled man was a local lawyer.,眼鏡をかけたその男性は地元の弁護士だった。
carousel,回転コンベヤー（システム）,A lot of people were crowding around the baggage carousel.,多くの人が荷物用回転コンベヤーの周りに群がっていた。
bask,日光浴をする,Sea lions love to bask in the sun.,アシカは日光浴をするのが大好きだ。
compendium,（〜の）セット; 一覧; 要約,The book was a compendium of useful information.,その本には役に立つ情報がまとめて載っていた。
garret,屋根裏部屋,Garrets were usually the cheapest rooms to rent.,通常屋根裏部屋は借りるには一番安い部屋だった。
ignite,に火をつける; 点火する,It was hard to ignite the damp timber.,湿った木材に火をつけるのは難しかった。
incisor,門歯; 切歯,In elephants; the incisors developed into tusks.,ゾウの門歯は発達して牙になった。
insecticide,殺虫剤; 虫取り,The use of insecticides can damage the environment.,殺虫剤の使用は環境に被害をもたらし得る。
impurity,（-ties）不純物; 不純; 不潔,Impurities in the water made it dangerous to drink.,水に不純物が混ざって，飲むには危険だった。
obtrusive,押し付けがましい; 出しゃばりの,The speaker was irritated by the man's obtrusive comments.,講演者は男性の出しゃばった発言にいらいらした。
appraise,を評価する; に値を付ける,An expert was asked to appraise the painting.,専門家がその絵を評価するよう依頼された。
eugenics,優生学,The image of eugenics was damaged by the Nazis.,優生学のイメージはナチスにより損なわれた。
olfactory,嗅覚の,Most mammals have similar olfactory systems.,ほとんどの晴乳動物は似たような嗅覚系を持っている。
pumice,軽石,Pumice stones were used to clean the bottom of the feet.,軽石は足の裏をきれいにするために使われた。
secrete,を分泌する,Some frogs secrete a poison through their skin.,カエルの中には皮膚から毒を分泌するものもいる。
aeronautics,航空学; 飛行術,Aircraft designers need a good knowledge of aeronautics.,航空機の設計者には航空学の十分な知識が必要だ。
germinate,芽を出す,It takes about two weeks for a potato to germinate.,ジャガイモは芽が出るまで2週間くらいかかる。
taunt,をあざける; 嘲笑する,Taunting can be the first step in serious bullying.,人をあざけることは深刻ないじめの始まりとなることがある。
tote,を持ち運ぶ; 携帯する,The criminal gang toted various weapons.,その犯罪者集団はさまざまな武器を携帯した。
firefly,ホタル,Fireflies were released as a tourist attraction.,観光の呼び物としてホタルが放たれた。
highbrow,知識人向きの; インテリぶった,The professor subscribes to various highbrow journals.,教授は知識人向けの雑誌を幾つも購読している。
scaffold,（建築の）足場,Some workmen stood on a scaffold.,職人たちが何人か足場に立った。
rote,機械的記憶,Learning by rote is very different from understanding.,丸暗記と理解は大きく異なる。
supersede,に取って代わる; （〜の）地位を奪う,Word processors were rapidly superseded by computers.,ワープロはコンピューターに急速に取って代わられた。
vicissitudes,栄枯盛衰; 浮沈; 変転,The building had survived the vicissitudes of centuries.,その建物は何世紀もの変転に耐えていた。
centrifugal,遠心性の,Centrifugal pumps were used to deliver the water.,水の供給に遠心ポンプが使われた。
collate,のページ順をそろえる; を照合する,The secretary collated all the documents in the right order.,秘書は全ての書類のページ順を正しい順番にそろえた。
octagon,八角［辺］形,The beehive was in the shape of an octagon.,そのハチの巣は八角形をしていた。
scour,をこすって磨く; ごしごし洗う,You should not scour pans with non-stick surfaces.,焦げつかない表面加工のフライパンをごしごしこするべきではない。
slither,ずるずる滑る,The snake slithered into a bush and disappeared.,ヘビは茂みの中にするすると入って消え去った。
statehood,国家としての地位,The country only gained statehood twenty years ago.,その国が国家としての地位を得たのはほんの 20年前のことだ。
encapsulate,を（〜で）包み込む,Most supplements are encapsulated in gelatin.,ほとんどのサプリメントはゼラチンに閉じ込められている。
lopsided,不均衡な; 片寄った,The programme's treatment of the problem was lopsided.,その番組の問題の取り扱いは片寄ったものであった。
breakwater,防波堤,A number of breakwaters protected the town from the tsunami.,幾つかの防波堤がその町を津波から守った。
wean,を（〜から）引き離す; を離乳させる,The treatment was designed to wean addicts off the drug.,その治療は常習者を薬物から引き離すことを目的としていた。
elapse,（時が）たつ; 過ぎ去る; 経過する,Many years have elapsed since the incident.,その出来事から何年もの時がたった。
meteorology,気象学,Computers have greatly helped the study of meteorology.,コンピューターは気象学の研究に大いに役立ってきた。
pliable,曲げやすい; 柔軟な,The wires were made of a pliable metal.,そのワイヤーは柔軟な金属で作られていた。
extrapolate,（既知の事柄から）推定する,"Extrapolating from past trends, he predicted a rise in crime.",過去の傾向から推定して，彼は犯罪の増加を予測した。
wherewithal,（〜するのに）必要な手段［金］,Many poor students lack the wherewithal to pursue higher education.,貧しい学生は高等教育を受けるだけの資力がない。
alchemist,錬金術師,The alchemist tried to deceive wealthy clients.,錬金術師は裕福な顧客たちをだまそうとした。
cipher,暗号; 暗号文書; を暗号で記す,The mathematician was employed to break enemy ciphers.,その数学者は敵の暗号を解読するために雇われた。
compatriot,同国人; 同胞,He avoided his compatriots living in the same town.,彼は同じ町に住む同胞を避けた。
handedness,利き手（の傾向）,Scientists are not exactly sure what causes handedness.,科学者たちには利き手の原因がはっきり分かっていない。
locale,（特定の出来事に関連した）場所,Finding a good locale for the new library was difficult.,新しい図書館用に良い場所を見つけるのは難しかった。
mangle,をずたずたに切る; めちゃめちゃにする,The car was mangled in the accident.,事故で車はめちゃめちゃに壊れた。
pitfall,落とし穴; 陥りやすい間違い,Pitfalls await even the most experienced translators.,最も経験を積んだ翻訳家でも陥りやすい間違いはある。
unearth,を発掘する,The scholar spent his life unearthing Mayan ruins.,その学者はマヤ遺跡の発掘に一生を費やした。
amphibian,両生類; 水陸両用の,Amphibians live both in water and on land.,両生類は水中と陸地の両方に生息する。
predispose,にあらかじめ（〜の）傾向を与える,His kindness predisposed him to be generous.,親切心が彼の寛大な性格の素地を作った。
doomsday,最後の審判の日; 運命の決する日,The cult believed that doomsday would come soon.,そのカルト集団は最後の審判の日が近いと信じていた。
slop,（液体が）こぼれる,Water from the bucket slopped onto the floor.,バケツの水が床にこぼれた。
studious,研究熱心な; 勉学好きな,The girl had a naturally studious character.,その少女は生まれつき勉強好きな性格だった。
subliminal,潜在意識に働き掛ける; サブリミナルの,In the UK, subliminal advertising is banned by law.,イギリスではサプリミナル広告は法律で禁止されている。
tenfold,10倍に; 10倍の,House prices have increased tenfold over twenty years.,住宅価格は 20年で 10倍に上昇した。
unblemished,傷のない; 汚点［欠点］のない,The policeman had an unblemished reputation for honesty.,その警察官は正直であるとして汚点のない評判を持っていた。
apportion,を（〜に）割り当てる,The funds were apportioned out to three universities.,資金は 3つの大学に割り当てられた。
pseudo-,（連結形）偽の; 見せ掛けだけの,Most people think astrology is a pseudo-science.,占星術は偽の科学だと考える人がほとんどだ。
episodic,挿話的な; 散発的な; 偶発的な,The novel was episodic in structure.,その小説は挿話的構成になっていた。
overshadow,に影を投げ掛ける,Our lives are overshadowed by the constant threat of earthquakes.,地震の絶え間ない脅威がわれわれの生活に影を投げ掛けている。
pagoda,（ヒンズー教や仏教の）塔,Pagodas are common in some Buddhist countries.,塔は幾つかの仏教国でよく見られる。
handrail,（階段などの）手すり; 欄干,Older people often need a handrail when climbing stairs.,お年寄りは階段を上るときに手すりを必要とすることが多い。
daydream,白日夢; 空想; 空想する,Many teenagers have daydreams of becoming famous.,10代の若者の多くは有名になることを空想する。
inflammable,燃えやすい; 引火性の,The toy was made of highly inflammable plastic.,そのおもちゃは非常に燃えやすいプラスチックでできていた。
liken,を（〜に）たとえる; なぞらえる,He often likened his friends to characters in novels.,彼はよく友人を小説の登場人物になぞらえた。
pacify,をなだめる; 静める,She tried to pacify her angry husband.,女性は怒った夫をなだめようとした。
emeritus,（退職して）名誉職の,Some people opposed making him an emeritus professor.,一部の人は彼を名誉教授にすることに反対した。
lilt,（歌・口調の）軽快な調子,He sang the song with a lilt in his voice.,彼は軽快な調子でその歌を歌った。
elixir,万能薬; 錬金薬液,The old book contained recipes for magical elixirs.,その古い本には魔法の万能薬の作り方が載っていた。
outstrip,に勝る; を上回る,The mathematics student soon outstripped his teachers.,その数学専攻の生徒の実力はすぐに教師たちを追い越した。
tweak,をつねる; つまんでぐいと引く,My brother tweaked my nose hard and it hurt.,兄にひどく鼻をつねられて痛かった。
deportment,（洗練された）振る舞い; 物腰; 態度,The first thing a model learns is correct deportment.,モデルが最初に習うのは正しい立ち居振る舞いだ。
inferential,推論（上）の; 推論による,The scientist's theory was based mainly on inferential reasoning.,その科学者の理論は主に推論による論法に基づいていた。
insularity,島国根性; 狭量; 島国性,He was shocked by the insularity of the people in that area.,彼はその地域の人々の偏狭さにショックを受けた。
mollusc,軟体動物,The biologist was a researcher in rare molluscs.,その生物学者は希少な軟体動物の研究者だった。
bombard,を（〜で）攻め立てる; を砲撃する,The reporters bombarded the politician with questions.,記者たちはその政治家を質問で攻め立てた。
arboreal,樹木の; 樹上にすむ,Monkeys in this area are all arboreal.,この地域のサルは全て樹上性である。
boffin,専門技術者; （科学技術）研究者,He was seen as the top government boffin.,彼は政府の専門技術者のトップと見なされていた。
capsize,（船など）をひっくり返す; 転覆させる,A huge wave hit the boat and capsized it.,大きな波に襲われて船は転覆した。
decompose,分解する; 腐敗する,Bodies start to decompose immediately after death.,死体は死亡直後から腐敗し始める。
disjunction,分離; 分裂; 乖離,There was a disjunction between the evidence and the conclusions.,その証拠と結論には乖離があった。
combustible,燃えやすい; 可燃性の,The mine was full of combustible gases.,鉱山には可燃性のガスが充満していた。
marsupial,有袋動物,Most marsupials are found in Australia.,ほとんどの有袋動物はオーストラリアに生息している。
sinew,腱,He damaged a sinew in his leg.,彼は脚の腱を傷めた。
breakneck,非常に危険な（速さの）; 無謀な,The supercar was travelling at the breakneck speed of 320 km/h.,そのスーパーカーは時速320キロの猛スピードで走っていた。
jostle,を突く; 押し分けて進む,Don't jostle other passengers as you leave the train.,電車を降りる際に他の乗客を押しのけてはいけない。
outdo,に勝る; をしのぐ,The girl was determined to outdo her rival.,少女はライバルに打ち勝つ決意だった。
reverberate,（音が）反響する; こだまする,The pistol shot reverberated around the square.,銃声は広場にこだました。
ageless,不老の; 古びない; 永遠の,She's 70; but her beauty is ageless.,彼女は70歳だがその美しさは老いることがない。
deplete,を減らす; 枯渇させる,Some people say the world oil resources will be depleted by 2060.,世界の石油資源は2060年までには枯渇すると言う人もいる。
orthography,正字法; 正書法; 綴字法,Only specialists could read the medieval orthography.,専門家しか中世の正字法を読めないだろう。
seedling,苗; 苗木; 若木,The seedlings were covered with a plastic sheet.,苗木はビニールシートで覆われていた。
echolocation,反響定位; 反響位置決定法,Some creatures use echolocation to fly at night.,夜間飛行するために反響定位を使う生き物もいる。
tricycle,三輪車,Adult tricycles are more and more popular among the elderly.,大人用三輪車の人気が高齢者の間で高まっている。
denigration,誹謗; 中傷,The article was a denigration of the politician's character.,その記事はその政治家の性格を誹謗するものだった。
excreta,排せつ物,He tracked the animal by following its excreta.,彼は排せつ物をたどってその動物を追跡した。
punch line,（冗談などの）聞かせどころ; 落ち,My friend told me a joke with a really good punch line.,私の友達は私に落ちのとても面白い冗談を言った。
coolant,冷却水［液; 剤］,Traditional refrigerators usually contain a coolant.,従来の冷蔵庫にはたいてい冷却剤が入っている。
equable,一様な; むらのない; 安定した,This region has a very equable climate.,この地域の気候はとても安定している。
suckle,に乳を飲ませる; 授乳する,Whales; like other mammals; suckle their young.,クジラは他の哺乳類同様に子どもに乳を飲ませる。
extrusion,（溶岩などの）噴出物; 押し出し,The mound had been formed by an extrusion of lava.,その小山は溶岩の噴出によって形成されていた。
mannerism,癖; 型にはまった手法［作風］,Avoid irritating mannerisms such as repeating "you know" too often.,"you know"を何度も繰り返すような聞き苦しい癖を避けなさい。
stagnate,よどむ; 停滞する,As the water in the pond stagnated; it began to smell.,池の水がよどみ臭い始めた。
skew,をゆがめる; を斜めにする,The government skewed the information in a misleading way.,政府は誤解を招くような方法で情報を歪曲した。
toughen,を強靭にする; たくましくする,His time in the army toughened him up.,軍隊での生活は彼をたくましくした。
townscape,都市風景（画）,The painter became famous for his industrial townscapes.,その画家は産業都市風景画で名をはせた。
ventilate,を換気する,He opened the windows to ventilate the room.,彼は部屋を換気するため窓を開けた。
projectile,発射される物; 投射［射出］物,Projectiles such as spears are very ancient weapons.,やりなどの投射物はとても古くからある武器だ。
slurp,を音を立てて食べる［飲む］,Don't slurp your soup in that way!,そんなふうにスープを音を立てて飲んではいけません！
herdsman,牧夫; 牧畜業者,Cowboys were actually just herdsmen.,カウボーイは実際にはただの牧夫だった。
shard,（陶器・ガラスなどの）破片,A shard of metal from the bomb blinded him.,爆弾の金属破片で彼は失明した。
stereoscopic,立体的な; 3次元的な,Many animals possess stereoscopic vision.,多くの動物は3次元的な視野を持っている。
turbid,（液体が）濁った; 不透明な,He could not see into the turbid water.,彼には濁った水の中が見えなかった。
desalination,脱塩; 淡水化,Desalination is an expensive way to provide fresh water.,脱塩は真水を供給するには高価な方法である。
paediatrics,小児科（学）,The girl was hoping to study paediatrics in the future.,その少女は将来小児科学を勉強したいと思っていた。
peruse,を精読する; 熟読する,He sat and perused the letter from his mother.,彼は腰を下ろして母親からの手紙を熟読した。
equinox,春分; 秋分; 昼夜平分時,The moon festival is held on the autumn equinox.,月祭りは秋分の日に行われる。
protrude,（〜から）突き出る,A flagpole protruded from the wall of the hotel.,旗ざおがホテルの壁から突き出ていた。
atone,（罪などの）償いをする; あがなう,The politician said he had atoned for his crimes.,その政治家は自分の犯した罪の償いをしたと言った。
microbe,微生物; 細菌; 病原菌,Some microbes can live in extreme environments.,微生物には過酷な環境でも生きられるものがある。
smoulder,くすぶる; いぶる; 鬱積する,The fire continued to smoulder for several days after the bombing.,爆撃の後，火は数日間くすぶり続けた。
solidify,固まる; 凝固する,The jelly should then be left to solidify.,あとはゼリーが固まるまで待つだけだ。
crustacean,甲殻類,A variety of crustaceans lived among the rocks.,さまざまな種類の甲殻類が岩の隙間に生息していた。
epitomise,の典型［権化; 好例］である,Her father epitomised conservative attitudes.,彼女の父は保守的な態度を取る人の典型だった。
extol,を激賞する; 褒めそやす,The critics extolled the film.,批評家たちはその映画を激賞した。
permafrost,（極地などの）永久凍土,Permafrost in the area is being affected by global warming.,その地域の永久凍土は地球温暖化の影響を受けている。
proofread,を校正する,The book had only been proofread once.,その本は1回しか校正されていなかった。
stash,を隠しておく; しまっておく,He stashed the stolen goods under his bed.,彼はベッドの下に盗んだものをこっそり隠しておいた。
autism,自閉症,Cases of autism have increased in recent years.,自閉症の症例は近年増加している。
excrete,を排せつする,Eventually the drug is excreted from the body.,その薬物は最終的に体から排せつされる。
herbivore,草食動物,Many herbivores live on the plains.,多くの草食動物がその平原に生息している。
splint,（骨折用の）添え木,He wore a splint on his broken leg.,彼は骨折した脚に添え木をしていた。
daunt,をひるませる; おじけづかせる,The idea of going to the battlefield daunted him.,戦地に行くという考えは彼をおじけづかせた。
repatriate,を本国に送還する; 帰国させる,Foreign criminals are often repatriated.,外国籍の犯罪者はしばしば本国に送還される。
afterglow,残光; 夕映え; 余韻,The garden was beautiful in the afterglow of the sunset.,日没の残光で庭はとても美しかった。
hibernate,冬眠する,The bears hibernated in their cave through the winter.,クマは洞穴で冬眠して冬を過ごした。
monoculture,単作; 一毛作; 単式農法,Monoculture is common in this country's agriculture.,この国の農業では単作が一般的だ。
mutate,（〜に）突然変異する; 変化する,Luckily the new flu virus mutated into a non-threatening form.,幸いなことに新しいインフルエンザウイルスは脅威を与えない形態に変異した。
pupa,さなぎ,The caterpillar turned into a pupa.,イモムシはさなぎに変化した。
spore,胞子; 芽胞,The mushroom sends out spores into the air.,キノコは空気中に胞子を放出する。
dire,悲惨な; 不吉な,The economic outlook remains dire.,経済の見通しはなおも暗い。
interbreed,（異種）交配する,Salmon from a farm interbred with wild ones.,養殖場のサケが野生のサケと交配した。
muggy,蒸し暑い,Summers in the town were muggy and unpleasant.,その町の夏は蒸し暑くて不快だった。
multifaceted,広範囲の; 多面的な; 多才な,He used his multifaceted talents in a number of fields.,彼は幾つかの分野で幅広い才能を生かした。
pollinate,に授粉する,Creatures such as bees; butterflies and hummingbirds pollinate plants.,ハチ，チョウ，ハチドリなどの生き物は植物に授粉する。
unrewarded,報われない,His efforts did not go unrewarded.,彼の努力は報われないままにはならなかった。
balk,（〜に）しり込みする; ためらう,He balked at paying for her dinner.,彼は彼女の夕食の支払いをためらった。
buzzword,（専門用語が元になった）流行語,‘Multimedia' was a big buzzword back in the 1990s.,1990年代には「マルチメディア」が大流行語であった。
exhale,息を吐き出す,He breathed in once and then exhaled slowly.,彼は一度息を吸ってからゆっくりと息を吐き出した。
chiropractor,脊柱指圧師,People with back pain often visit chiropractors.,腰が痛い人はしばしば脊柱指圧師を訪ねる。
deride,を嘲笑する; ばかにする,Tablet-manufacturers often deride their competitors as imitators.,タブレット端末メーカーはしばしば物まねだとして競合他社をばかにする。
inundation,洪水,The people were dependent on the periodic inundations of the Indus River.,その人々はインダス川の周期的洪水に依存していた。
beget,を生じさせる; （結果として）招く,The new policy only begot more problems.,新しい方針はさらなる問題を招いただけだった。
entomology,昆虫学,He holds a PhD in entomology from the University of Illinois.,彼はイリノイ大学の昆虫学博士号を持っている。
inscribe,を書く; 記す; 刻む,The author inscribed his name in the book.,著者はその本に名前を記した。
picky,気難しい; えり好みする; 神経質な,Some people are picky about the stationery they use.,使う文房具の好みがうるさい人がいる。
periscope,（潜水艦の）潜望鏡,The captain looked through the periscope.,船長は潜望鏡をのぞいた。
intertwine,を（〜と）絡み合わせる,The roses were intertwined with other flowers.,バラは他の花と絡み合っていた。
sterilise,を殺菌［消毒］する; を不妊にする,Feeding bottles for babies must be sterilised.,赤ちゃんの哺乳瓶は消毒しなければならない。
impoverish,を貧しくする; の質を低下させる,The depression impoverished many families.,不況はたくさんの家族を貧しくした。
leukaemia,白血病,Leukaemia is a form of cancer.,白血病はがんの一種である。
resound,鳴り響く; 知れ渡る,The shouts of the boys resounded around the green.,少年たちの叫び声は草地に響き渡った。
aerate,を空気にさらす; 通気する,A fish tank needs to be aerated.,魚飼育用の水槽は空気にさらす必要がある。
circumscribe,を制限する; の周りに線を引く,Access to the areas around the power plant is circumscribed.,発電所周辺へのアクセスは制限されている。
osteopath,整骨医,Some people prefer osteopaths to other doctors.,他の医者よりも整骨医を好む人もいる。
institutionalise,を制度化する,The government planned to institutionalise health checks for children.,政府は子どもの健康診断を制度化する計画を立てた。
ordinate,縦座標; 縦軸,The ordinate represents the average height of 10-year-old children.,縦軸は10歳児の平均身長を表している。
accredit,を認定する; 認可する,The school was accredited by the ministry.,その学校は省から認可されていた。
aquaculture,（魚・海藻などの）養殖,Recently; aquaculture has become a growth industry.,近年，養殖は成長産業となっている。
invigorate,に活力を与える; を活性化させる,The children felt invigorated by the exercise.,子どもたちは運動して元気が出た。
recline,もたれる; 寄り掛かる,Tourists were reclining on deckchairs.,観光客はデッキチェアにもたれていた。
underling,下っ端; 下役,The boss asked an underling to bring the papers.,上司は下役に書類を持ってくるよう言った。
cavort,はしゃぎ回る; 跳ね回る,Some children were cavorting in the pool.,子どもたちがプールではしゃぎ回っていた。
cosset,を（過度に）かわいがる; 甘やかす,Cosseting boys can make life harder for them later.,男の子を甘やかすと後で彼らが苦労することになる。
infest,にはびこる; 横行する,The area was infested by pirates.,その地域には海賊がはびこっていた。
calve,（ウシなどが）子を産む; （氷塊が）分離する,It was the season when the cows calved.,雌ウシが子を産む季節だった。
conjurer,奇術師; 手品師,A conjurer performed tricks at the party.,手品師がパーティーで手品を披露した。
herbalism,薬草治療,The old woman practiced herbalism.,老女は薬草治療を行っていた。
laden,荷を積んだ; （〜を）満載した,The cart was laden with fruit for the market.,カートには市場に出す果物が満載されていた。
arteriosclerosis,動脈硬化（症）,As he grew older; arteriosclerosis made walking difficult for him.,年を取るにつれて彼は動脈硬化のため歩行が困難になった。
biometrics,生体認証; 生物測定学,Biometrics is often used to identify people nowadays.,今日，生体認証は人を識別するためにしばしば使われる。
burgeon,急に成長［発展］する; 急増する,The company's debts began to burgeon.,会社の負債が急増し始めた。
Copernican,コペルニクス的; 画期的な,His theory brought about a Copernican revolution in psychology.,彼の理論は心理学にコペルニクス的転回をもたらした。
decouple,を（〜から）切り離す,We must decouple economic growth from pollution.,経済成長を汚染から切り離さなければならない。
delayering,階層削減; 組織内合理化,Many companies have adopted delayering of management.,多くの企業は管理職の組織内合理化を取り入れている。
domesticate,を飼いならす; 家畜化する,Cats were first domesticated thousands of years ago.,ネコが最初に飼いならされたのは何千年も前のことだ。
emblazon,を（紋章などで）飾る,The school blazer was emblazoned with three wolves.,校章は3匹のオオカミで飾られていた。
encase,を箱などに入れる; すっぽり覆う,The watch arrived encased in a velvet box.,その時計はベルベットの箱に入れられて届いた。
enervate,の力を弱める; から気力を奪う,Many visitors are enervated by the hot climate.,多くの来訪者は暑い気候により体力を奪われる。
enfranchise,に参政権を与える,It was only recently that women were enfranchised there.,その地で女性が参政権を与えられたのはつい最近のことだ。
entwine,を（〜に）絡み合わせる,The town's future was entwined with that of the company.,町の将来はその企業の将来と密接に結び付いていた。
fledgling,羽がそろったばかりのひな鳥,The sparrow's nest contained three fledglings.,スズメの巣には羽がそろったばかりのひな鳥が3羽いた。
hailstone,あられ［ひょう］の粒,Large hailstones fell; damaging the cars.,大粒のあられが降って，車が傷ついた。
head start,幸先の良い滑り出し; 好発進,They needed to gain a head start over their rivals.,彼らはライバルに一歩先んじる必要があった。
hieroglyph,象形文字,For centuries nobody could read Egyptian hieroglyphs.,何世紀もの間，誰もエジプトの象形文字を読めなかった。
holidaymaking,行楽,Good planning makes for successful holidaymaking.,しっかりした計画を立てれば行楽は成功する。
humpback whale,ザトウクジラ,Humpback whales can be as long as 20 metres.,ザトウクジラは体長が20メートルになることもある。
cog,歯車; （歯車の）歯,He was just a cog in the government's wheel.,彼は政府の中の歯車の1つに過ぎなかった。
likeminded,同じような考え［趣味など］を持った,A few likeminded scholars founded the group.,少数の同じような考えを持った学者たちがその団体を設立した。
lingua franca,（国際）共通語,Chinese has become the lingua franca in that area.,中国語はその地域の共通語となっている。
Palaeolithic,旧石器時代の,The region is known for its Palaeolithic remains.,その地域は旧石器時代の遺跡で知られる。
