単語,意味,例文 (英語),例文(日本語)
benevolent,慈悲深い; 善意のある,The businessman was a benevolent man; donating millions of pounds to charity.,その実業家は慈悲深い人で，慈善事業に何百万ポンドも寄付した。
ingenuity,創意工夫の才; 独創性,Ingenuity is key to the development of new technology.,独創性が新技術開発の鍵となる。
sporadic,散発的な; 時々起こる,There were reports of sporadic fighting throughout the city.,市内全域で散発的な戦闘が起きているという報告があった。
diffuse,を散らす; 発散する,The spray bottle diffused deodorant particles into the air.,そのスプレー缶は空気中に防臭剤の粒子を放った。
vibrant,響き渡る; 反響する; 震える,The actor has a low and vibrant voice.,その俳優は低くてよく響く声の持ち主だ。
aroma,芳香; 香り,Most people enjoy the aroma of fresh coffee.,ほとんどの人は入れたてのコーヒーの香りが好きだ。
battlefield,戦場,Many rulers have won their positions on the battlefield.,多くの支配者が戦場で地位を勝ち取った。
havoc,大破壊; 荒廃; 大損害,The enormous earthquake caused havoc across the area.,その巨大地震は地域全体に大きな被害をもたらした。
insecure,(〜について)不安な; 心配な,Many middle-aged workers feel insecure about their pension.,中年労働者の多くは年金に不安を感じている。
lag,遅れる; 立ち遅れる,The African continent continues to lag behind in economic growth.,アフリカ大陸は今なお経済成長において立ち遅れている。
pedigree,"家系，血筋;（動物の）血統",The politician's family was of good pedigree.,その政治家の一家は良い家系だった。
emulate,を見習う;に追い付こうと励む,He tried hard to emulate his father's success.,彼は父親の成功を見習おうと一生懸命に努力した。
burrow,巣穴,The rabbits escaped into their burrow.,ウサギたちは巣穴に逃げ込んだ。
freshwater,真水の;淡水の;淡水にすむ,Freshwater dolphins are nearly extinct.,淡水に生息するイルカはほとんど絶滅状態である。
barge,（荷物運搬用の）平底船;はしけ,The canals were mainly used by barges.,その運河は主に平底船によって利用された。
duplicate,を複写［複製］する,No software may be duplicated without permission from the author.,いかなるソフトウエアも作者の許可なしに複製されてはならない。
encompass,を含む;包含する;を取り囲む,The atlas encompassed maps of most countries.,その地図帳にはほとんどの国の地図が含まれていた。
adhesive,接着剤,The carpenter used a strong adhesive to fix the chair.,大工はその椅子の修理に強い接着剤を使った。
parasite,寄生虫;寄生動物;寄生植物,The animal was covered with parasites.,その動物は体中に寄生虫が付いていた。
phenomenal,驚異的な;並外れた,The musical was a phenomenal hit.,そのミュージカルは驚異的なヒットとなった。
vernacular,（言葉が）地方固有の,The global spread of English threatens many vernacular languages.,英語の世界的な広がりが多くの土着の言語を脅かしている。
evoke,を呼び起こす;喚起する,The photograph evoked memories of his childhood.,その写真は彼の子どものころの記憶を呼び起こした。
opaque,不透明な;光を通さない,Somebody was moving behind the opaque window.,すりガラスの向こうで誰かが動いていた。
activate,を活発にする;を作動させる,The book activated his interest in local history.,その本は地域の歴史に対する彼の興味をかき立てた。
beacon,信号（灯）;（交通の）標識灯,Beacons were lit to celebrate the arrival of peace.,平和の到来を祝う信号灯がともされた。
chic,「上品な，粋な，シックな」,They ate at a chic little restaurant.,彼らは上品なこぢんまりしたレストランで食事をした。
perennial,多年生の,Some perennial plants live for many years.,ある種の多年生の植物は何年も生きる。
abide,（abide byで）に従う;を守る,The child refused to abide by the rules.,その子どもは規則に従うことを拒否した。
onslaught,猛攻撃;強襲,Just before dawn; the enemy onslaught began.,夜明け直前に敵の猛攻撃が始まった。
oversee,を監督する;取り締まる,The man's job was to oversee the factory workers.,その男性の仕事は工場労働者を監督することだった。
resin,樹脂;松やに,This tree provides a high-quality resin.,この木からは高品質の樹脂が採れる。
alloy,合金,Brass is an alloy of copper and zinc.,真ちゅうは銅と亜鉛の合金だ。
genetics,遺伝学;遺伝的特徴,Genetics has made great progress in recent years.,遺伝学は近年大きく進歩している。
smear,を塗り付ける,The abstract artist smeared paint on the canvas.,その抽象画家はキャンパスに絵の具を塗り付けた。
hype,誇大宣伝,The advertisement was little more than hype.,その広告はほとんど誇大宣伝でしかなかった。
pesticide,殺虫剤;除草剤,The use of pesticides caused terrible pollution.,殺虫剤の使用がひどい汚染を引き起こした。
disparate,異質の;本質的に異なる,The board members have disparate views on how to handle the problem.,取締役たちはその問題の対処法について異なる考えを持っている。
fluorescent,蛍光を発する;蛍光性の,Fluorescent lights lit up the kitchen.,蛍光灯の明かりがキッチンを照らした。
fungus,菌類;キノコ;カビ,There are many edible kinds of fungus.,食用に適した菌類には多くの種類がある。
degenerate,低下する;悪化する,The elderly woman's health began to degenerate rapidly after the operation.,その高齢の女性の健康状態は手術後急速に悪化し始めた。
uncompromising,「妥協しない，強硬な，断固とした」,His wife admired his uncompromising attitude.,彼の妻は彼の妥協しない姿勢に感心した。
drab,（色が）くすんだ;地味な,The walls were painted a drab brown.,その壁はくすんだ茶色に塗られた。
incarnation,一時期の姿;前世;化身;権化,Perhaps he was a fish in a previous incarnation.,もしかすると彼の前世は魚だったかもしれない。
invoke,を引き合いに出す;を生じさせる,The lawyer invoked a little known law.,弁護士はほとんど知られていない法律を引き合いに出した。
retina,網膜,Each individual's retinae are unique.,網膜は一人一人違う。
prowess,立派な腕前;優れた能力;武勇,The other boys admired his prowess at rugby.,他の少年たちは彼の優れたラグビーの能力に感心した。
nip,をつまむ;（軽く）かむ,Some birds can make tools by nipping and cutting.,つまんだり切ったりして道具を作ることができる鳥もいる。
patriotism,愛国心,Full of patriotism; the crowd cheered the soldiers.,愛国心にあふれた群衆は兵士たちに喝采した。
ambivalent,（〜に）相反する感情を抱く,He felt deeply ambivalent towards his father.,彼は父親に対して非常に相反する感情を抱いていた。
barbed,先端が鋭く曲がった,The camp was surrounded with barbed wire.,キャンプは有刺鉄線で囲まれていた。
denote,を示す;の印である;意味する,Italics are often used to denote foreign words.,外国語の単語を示すためにしばしば斜字体が用いられる。
amenity,「生活を快適にするもの［施設，環境］」,The campus has many amenities.,このキャンパスにはアメニティー施設がたくさんある。
dilute,を（〜で）薄める;希釈する,This lemon juice should be diluted with water.,このレモンジュースは水で薄めた方がいい。
fragrant,香りの良い;芳香性の,The fragrant smell of roses filled the house.,バラのかぐわしい香りが家を満たした。
flimsy,「薄くて軽い，薄っぺらの，壊れやすい」,She wore a flimsy dress of silk.,彼女は薄くて軽い絹のドレスを着ていた。
idiosyncratic,独特な;一風変わった,Many readers liked his idiosyncratic style.,読者の多くは彼の独特のスタイルが好きだった。
pore,（pore overで）を熟読する;注意深く調べる,She pored over the old newspapers looking for the article.,彼女はその記事を探して古い新聞をじっくり読んだ。
courtship,求愛行動;交際（期間）,Courtship rituals vary according to cultural norms.,求愛の儀式は文化的規範によってさまざまである。
empathy,共感;感情移入,Moved by empathy; she gave her sister a hug.,共感に動かされて，彼女は妹にハグをした。
bolster,を高める;強化する,His high marks bolstered his confidence.,良い点を取ったことが彼の自信を高めた。
converse,(the-)反対; 逆,Diligent students tend to achieve academic success and the converse is also true.,勤勉な学生は学問的成功を収める傾向があり，逆もまた真である。
backlash,(-に対する)激しい反発,There has been a backlash against liberalism in the country recently.,最近その国ではリベラリズムに対する激しい反発が起きている。
assortment,(-の)詰め合わせ; 寄せ集め,The box contained an assortment of cakes.,その箱の中身は各種ケーキの詰め合わせだった。
phantom,幽霊; お化け,Various people claimed to have seen the phantom.,さまざまな人がその幽霊を見たと言い張った。
nomadic,遊牧(民)の; 流浪の,He belonged to a nomadic tribe of herdsmen.,彼は動物の群れを飼う遊牧民の部族の一員だった。
shuffle,をごちゃ混ぜにする; 移し替える,The team was forced to shuffle its line-up due to injuries.,そのチームはけが人が出たため出場選手を入れ替えることを余儀なくされた。
mentor,良き指導者[助言者],Older students act as mentors to younger ones.,年上の生徒は後輩に対して良き助言者の役目を務める。
gland,腺,She suffered from swollen glands in her neck.,彼女は首の腺の肥大を患っていた。
camouflage,に(-で)偽装[迷彩]を施す,They camouflaged the trench with branches.,彼らは枝で堀に偽装を施した。
pleasurable,楽しい; 愉快な; 満足感を与える,My stay at the hotel was a very pleasurable experience.,そのホテルでの滞在はとても満足のいく経験だった。
intrigue,の好奇心をそそる; に興味を起こさせる,The handsome stranger intrigued her.,そのハンサムな見知らぬ男は彼女の好奇心をそそった。
astronomical,天文学的な; 天文学(上)の,The country's unemployment rate has reached an astronomical level.,その国の失業率は天文学的なレベルに達している。
deteriorate,悪化する,The patient's condition began to deteriorate.,患者の症状が悪化し始めた。
flex,を曲げる; 屈伸する,The runners flexed their legs before the race.,ランナーたちはレース前に脚の屈伸をした。
verify,の正しさを証明[立証]する,The physicist could not verify his claims.,その物理学者は主張が正しいと証明することができなかった。
flaw,傷; ひび; 割れ目; 欠点,There was a small flaw in the lens of the camera.,カメラのレンズに小さな傷があった。
eradicate,を根絶する; 撲滅する,Certain diseases have been eradicated by science.,ある種の病気は科学により根絶されてきた。
caste,カースト; カースト制度,They were wealthy Indians from an upper caste.,彼らは上流カースト出身の裕福なインド人だった。
mimic,をまねる; の物まねをする,The boy could mimic his teachers perfectly.,その男の子は本物そっくりに先生のまねをすることができた。
tenuous,(関係・根拠などが)希薄な; 薄弱な,His argument seemed rather tenuous.,彼の論拠はずいぶん薄弱に思えた。
antibiotics,抗生物質,The disease resisted all known antibiotics.,その病気は既知の抗生物質全てに耐性を持っていた。
bun,小型の丸い(菓子)パン,In the UK; buns are often eaten at Easter.,イギリスでは小型の丸い菓子パンはイースターのときによく食べられる。
disperse,を分散させる; 追い散らす,Chemicals were used to disperse the oil.,油を分散させるために化学薬品が使われた。
psyche,精神; 心; 魂,Freud explored the depths of the human psyche.,フロイトは人間の精神の深淵を探求した。
arduous,骨の折れる; 困難な; つらい,They began the arduous task of clearing the site.,彼らは敷地の片付けという骨の折れる作業を始めた。
elicit,を引き出す; を喚起する,The detectives tried to elicit a confession from the man.,刑事たちは男から自白を引き出そうと試みた。
whim,気まぐれな考え; 思い付き,On a whim; she entered the museum.,彼女は思い付きでその美術館に入った。
heyday,全盛期; 絶頂; 盛り,In its heyday; the British Empire spanned approximately 11 million square miles.,全盛期には，大英帝国はおよそ 1,100万平方マイルに及んだ。
occupant,占有者; 居住者,Firefighters evacuated the occupants of the flats.,消防士たちがアパートの居住者を避難させた。
cardiovascular,心臓血管の,Cardiovascular disease is a major cause of death.,心臓血管病は主要な死因の 1つである。
disproportionately,不釣り合いに,Their spending on rent was disproportionately large.,彼らの賃貸料の支出は不釣り合いなまでに大きかった。
colossal,巨大な,A colossal statue of the leader was put up.,その指導者の巨大な像が建てられた。
erroneous,間違った; 誤った; 正しくない,People have many erroneous beliefs about science.,人々は科学についてたくさんの間違った考えを持っている。
usher,(usher inで)の到来を告げる,The discovery ushered in a new era of technology.,その発見はテクノロジーの新時代の到来を告げた。
iceberg,氷山,The ship hit an enormous iceberg.,その船は巨大な氷山に衝突した。
murky,暗い; 陰気な; 濁った,The weather forecast says that the weather will be murky.,天気予報はどんよりした天気になると言っている。
instantaneous,瞬時の; 瞬間的な; 即時の,The effects of the medicine were instantaneous.,その薬は瞬時に効いた。
reclaim,を埋め立てる; 干拓して作る,They announced a project to reclaim land from the sea.,彼らは海を干拓する計画を発表した。
footage,(映画の)一場面; シーン,The teacher showed some footage from an old news film.,先生は古いニュース映画の場面を幾つか見せた。
allergy,(-に対する)アレルギー,The girl had an allergy to peanuts.,その女の子はピーナッツにアレルギーがあった。
foetus,胎児,Alcohol can cause harm to a foetus.,アルコールは胎児に害を及ぼすことがある。
resilience,回復力; 復元力; 弾力(性),Resilience against illness decreases with age.,病気からの回復力は年齢とともに衰える。
deduce,を推測する,He deduced the height of the intruder from the footprints.,彼は足跡から侵入者の身長を推測した。
infrared,赤外線の,They used infrared light to see in the dark.,彼らは暗闇でも見えるように赤外線ライトを用いた。
uncanny,不可思議な; 奇怪な,He had an uncanny ability to guess people's thoughts.,彼には人の考えを当てる不可思議な能力があった。
pendulum,振り子,The old clock contained a large pendulum.,その古時計には大きな振り子があった。
stagnant,停滞した; よどんだ,The local economy has been stagnant for years.,地元経済は何年も停滞している。
collaborate,共同して働く; 合作する,The two countries collaborated to build the dam.,両国はそのダムの建設のため協力した。
observatory,観測所; 天文台; 気象台,An observatory was built on the top of the mountain.,その山の頂上に観測所が建設された。
hue,色; 色合い; 色調,The painter always used delicate hues.,その画家はいつも繊細な色調を使った。
boulevard,広い並木通り,Paris is famous for its beautiful boulevards.,パリは美しくて広い並木通りで有名だ。
deploy,を配置する; 配備する,The managers discussed how to deploy the salesmen.,店長たちはどのように販売員を配置するか話し合った。
boulder,（浸食による）丸石; 大岩; 巨礫,They used some boulders to block the stream.,彼らは流れをせき止めるために大岩を使った。
conjunction,接続詞; 結合; 連結,Never begin sentences with a conjunction like ‘and' and ‘but'.,andやbutのような接続詞で文を始めてはいけない。
treatise,（学術）論文,He wrote a famous treatise on ethics.,彼は倫理学に関する有名な論文を書いた。
ultraviolet,紫外線の,Ultraviolet light can be used to kill germs.,殺菌には紫外線を使うことができる。
collateral,担保（物件）,He used his house as collateral for the loan.,彼は自宅を借り入れの担保にした。
fodder,飼料; 飼い葉,The hay was stored as fodder for the cattle.,その干し草は畜牛の飼料として蓄えられた。
revulsion,嫌悪; 反感,The sight made her feel a sense of revulsion.,その光景を見て彼女は嫌悪感を感じた。
sewer,下水道; 下水溝,The Greeks invented sewers; the Romans invented a water system.,ギリシャ人は下水道を発明し，ローマ人は上水道を発明した。
conjecture,推測; 憶測,The claim turned out to be mere conjecture.,その主張は結局ただの当て推量にすぎなかった。
heave,を（力を込めて）持ち上げる; 動かす,The men lifted and heaved the huge rock out of the way.,男たちはその巨大な岩を持ち上げてどかした。
mistrust,を信用しない; 疑う,Many people mistrusted the official media.,多くの人は公式メディアを信用していなかった。
flop,どすんと座る［倒れる; 落ちる］,Tired out; he flopped onto the sofa.,疲れ切って，彼はソファにどすんと座り込んだ。
milestone,画期的な出来事; 重要事件,The Factory Act was a milestone in child protection.,工場法は児童保護における画期的な出来事だった。
paralysis,まひ（症）,He suffered from paralysis of his right arm.,彼は右腕のまひを患った。
simulate,を模擬実験する; シミュレートする,The program was used to simulate the effect of flooding.,洪水の影響をシミュレートするためにそのプログラムが使われた。
disorderly,無秩序な; 混乱した; 乱雑な,The children left their clothes in a disorderly pile on the floor.,子どもたちは服を床に乱雑に積んだままにしていた。
foresight,先見（の明）; 洞察（力）,Those with foresight quickly sold their shares.,先見の明のある者はさっさと株を売った。
painstaking,労を惜しまない; 勤勉な; 丹精込めた,Despite his painstaking work; mistakes remained.,彼は労を惜しまず作業したが，間違いが残っていた。
recapture,奪還; を取り戻す; 奪い返す,After a fierce battle; the town was recaptured.,激しい戦闘の後に，その町は奪還された。
demolish,を取り壊す; を粉砕する,The city government ordered the house demolished.,市当局はその家を取り壊すよう命令した。
individualistic,個人主義の; 利己主義の,Over time; the culture became more individualistic.,時を経て，その文化はより個人主義的になった。
dismantle,を分解する,The boy dismantled his bike and cleaned it thoroughly.,少年は自転車を分解して徹底的に掃除した。
nutrient,栄養分［素］; 滋養,Brown rice contains various important nutrients.,玄米はさまざまな重要な栄養素を含んでいる。
broadcaster,キャスター; アナウンサー,The broadcaster read the news in an emotional voice.,アナウンサーは感情的な声でそのニュースを読んだ。
culprit,原因（となるもの）; 犯人,Carbon dioxide emissions are considered one of the main culprits of global warming.,二酸化炭素の排出は地球温暖化の主な原因の1つと考えられている。
spawn,（魚・カエルなどが卵を）産む,Fish return to the river to spawn their eggs.,魚は卵を産むためにその川に戻る。
aptitude,（〜の）才能; 素質,His aptitude for chess appeared early.,彼のチェスの才能が芽を出すのは早かった。
anecdote,逸話; 秘話; 小話,He entertained us with anecdotes from his school days.,彼は学生時代の逸話で私たちを楽しませた。
publicise,を一般に知らせる; 公にする,They spent much money publicising the event.,彼らはその催しの広報活動をするために多額を費やした。
longevity,長命; 長生き; 寿命,The old man said the secret to longevity is to laugh often.,長生きの秘訣はよく笑うことだと老人は言った。
squeak,甲高い声［音］を出す,He could hear rats squeaking in the roof.,彼は天井でネズミがチューチュー鳴いているのが聞こえた。
droppings,（動物の）ふん; 肥やし,The garden was full of deer droppings.,庭はシカのふんでいっぱいだった。
grenade,手りゅう弾,One of the demonstrators threw a grenade.,デモ参加者の1人が手りゅう弾を投げた。
weighty,重大な; 重要な; 重い,He had to solve many weighty problems.,彼はたくさんの重要な問題を解決しなければならなかった。
remnant,（しばしば-s）（わずかな）残り; 余り,His former home was only a remnant of what it had once been.,彼のかつての家はわずかな面影を残すばかりだった。
assimilate,を吸収同化する; を消化［吸収］する,Most immigrants were assimilated.,ほとんどの移民は吸収同化されていた。
carefree,心配［苦労］のない; のんきな,He loved her carefree attitude to life.,彼女の人生に対するのんきな姿勢が彼は好きだった。
necessitate,を必要とする,The financial crisis necessitated immediate action.,金融危機は即座の対策を必要とした。
constrain,を抑制する; を強いる,Government spending was constrained by the recession.,景気後退により政府の支出が抑えられた。
mediocre,並の; 平凡な; 普通の,He was a good scholar but a mediocre teacher.,彼は学者としては優れていたが，教師としては並だった。
glossary,用語小辞典; 用語集,The book contained a glossary of technical terms.,その本には専門用語の語彙集が含まれていた。
censure,を非難する; 酷評する,His action was censured by his colleagues.,彼の行動は同僚たちから非難された。
avalanche,雪崩,Three climbers died in the avalanche.,その雪崩で3人の登山者が亡くなった。
jolt,急激な揺れ; 驚き,He received a jolt when the train stopped.,列車が止まって彼は急な揺さぶりを受けた。
refute,の誤りを証明する; を論駁する,A hypothesis is refuted when evidence disagrees with it.,証拠が合致しない場合には仮説の間違いが証明される。
deflect,をそらす; の方向を変える,The goalkeeper deflected the ball with one hand.,ゴールキーパーは片手でボールをそらした。
bead,数珠玉; ビーズ,She always carried her prayer beads with her.,彼女はいつも数珠を持ち歩いていた。
germ,微生物; 細菌; 病原菌; 胚,Researchers identified the germ that caused the disease.,研究者たちはその病気の原因となる細菌を突き止めた。
recalcitrant,反抗的な; 手に負えない; 強情な,The stricter he was; the more recalcitrant his son became.,彼が厳しくすればするほど息子は反抗的になった。
adversity,逆境; 不運,Immigrant workers faced many adversities.,移民労働者は多くの逆境に直面した。
transcend,を越える,Environmental problems often transcend national borders.,環境問題はしばしば国境を越える。
dub,に（〜と）あだ名を付ける; を（〜と）呼ぶ,His followers dubbed him ‘the Chief'.,弟子たちは彼を「かしら」と呼んだ。
sibling,兄弟姉妹（の1人）,It is common for siblings to quarrel.,兄弟の仲たがいはよくあることだ。
obese,肥満した,There are a growing number of obese children.,肥満の子どもが増えている。
affiliate,を（〜と）提携させる; 支部,The clinic is affiliated with the university hospital.,そのクリニックは大学病院と提携している。
unparalleled,並ぶものがない; 無比の,The exhibition attracted an unparalleled number of visitors.,その展示会は類を見ない数の来館者を集めた。
impair,を弱める; 害する; 損なう,His tiredness impaired his ability to think logically.,彼は疲労で論理的思考力が損なわれた。
denounce,を非難する,The opposition parties denounced the election as a fraud.,野党はその選挙を詐欺だと非難した。
loot,を略奪する; 略奪品,The invading army looted the palace.,侵略軍は宮殿を略奪した。
jeopardise,を危うくする; 危機に陥れる,The project was jeopardised by government cuts.,その計画は政府の予算削減により危機に陥った。
ensue,続いて起こる; 結果として起こる,Problem after problem ensued.,次から次へと問題が起こった。
grimace,苦悶［嫌悪］の表情を浮かべる; 顔をしかめる,He wore a grimace of pain on his face.,彼は苦痛で顔をしかめた。
encyclopaedia,百科事典,There was no entry on the writer in the encyclopaedia.,百科事典にその作家の見出しはなかった。
evaporate,蒸気になる; 蒸発する; を蒸発させる,The puddles quickly evaporated in the heat.,水たまりは暑さですぐに蒸発した。
obstruct,を遮断する; ふさぐ; 遮る,His view of the race was obstructed by a tree.,木に遮られて彼はレースを見られなかった。
entice,を誘惑する; おびき寄せる,Enticed by the smell of coffee; he entered the cafe.,コーヒーの香りに誘われて彼はそのカフェに入った。
resourceful,臨機応変の（才のある）,The resourceful boy used his handkerchief to bandage his injured leg.,臨機応変の才のあるその少年はハンカチを使ってけがをした脚に包帯をした。
starch,でんぷん（質）,Potatoes contain a lot of starch.,ジャガイモにはでんぷんがたさん含まれている。
alienate,を疎外する,Many teenagers feel alienated from society.,多くの10代の若者は社会から疎外されていると感じている。
unveil,のベール［覆い］を取る; 明らかにする,The artist unveiled the new statue.,その芸術家は新しい彫像を披露した。
erupt,噴火する,Experts feared the volcano would erupt.,専門家はその火山が噴火することを恐れていた。
intolerant,（〜に対して）不寛容な; 狭量な,The village was intolerant of outsiders.,その村は外部の人に対して不寛容だった。
misconception,誤った考え［概念］,There was a misconception that he was from Cambridge University.,彼がケンブリッジ大学出身だという誤解があった。
pane,窓ガラス,The explosion shattered every pane of glass.,その爆発で窓ガラスが全部粉々になった。
larva,幼虫; （動物の）幼生,There was an insect larva on the leaf.,葉っぱに幼虫が付いていた。
sustenance,生命を維持するもの; 食物,The escaped soldiers were given sustenance by the villagers.,脱走兵たちは村人から食べ物を与えられた。
parched,乾き切った,After the summer; the ground was parched.,夏が終わり，地面は乾き切っていた。
sift,をふるいに掛ける; ふるう,The cook sifted the flour for a cake.,コックはケーキ作りのために小麦粉をふるった。
topple,を倒す; をぐらつかせる; 倒れる,The army toppled the civilian government.,軍隊は文民統制の政府を倒した。
concur,（〜に）賛成する; 同意する,His parents concurred with his decision.,両親は彼の決心に賛成した。
pretender,（〜の）権利主張者; 詐称者,Pretenders to leadership always attract attention by highlighting problems.,指導者の地位を狙う者は常に問題を強調することで関心を集める。
zoology,動物学,She became a professor of zoology.,彼女は動物学の教授になった。
erode,を浸食［腐食］する; 浸食される,Wind and waves eroded the rock over a long time.,風と波が長い時間をかけてその岩を浸食した。
unyielding,妥協しない; 断固とした,He was an unyielding critic of the government.,彼は政府に対して断固とした批判者だった。
enlighten,を啓発する; 啓蒙する,She did her best to enlighten people about the danger.,彼女はその危険について人々を啓蒙しようと最善を尽くした。
insulate,を遮断する; 絶縁する,Insulating one's home can lead to lower fuel bills.,家を断熱すると燃料費を安くすることができる。
amplify,を増幅する,The orchestral instruments were amplified through giant speakers.,オーケストラの楽器は巨大なスピーカーを通して増幅された。
yolk,黄身; 卵黄,The cake requires five egg yolks.,そのケーキを作るには卵黄が5つ必要だ。
demobilise,を除隊［復員］させる,Most non-regular soldiers were demobilised at the end of the war.,ほとんどの非正規兵は戦争が終わると除隊した。
coexistence,共存,The statesman promoted the peaceful coexistence of nations.,その政治家は諸国家の平和的共存を推し進めた。
improvise,を即興で作る［演奏する］,The comedian improvised a few jokes.,そのコメディアンは幾つかのジョークを即興で言った。
aggravate,を悪化させる; 深刻にする,Overwork aggravated his health problems.,働き過ぎが彼の健康問題を悪化させた。
gymnastics,（特に器具を用いる）体操,Gymnastics was a popular subject with boys.,体操は男子に人気のある科目だった。
smother,を（〜で）厚く覆う; を窒息させる,She smothered the strawberries with cream.,彼女はイチゴにクリームをたっぷりかけた。
tint,色合い; 色調,The petals of the flower had a purple tint.,その花の花弁は紫の色合いを帯びていた。
categorise,を類別する; 分類する,He found it hard to categorise the book.,彼はその本を分類するのは難しいと感じた。
tome,大型の分厚い本; 大冊,Various heavy law tomes sat on his desk.,彼の机には重くて分厚い法律書がいろいろと積まれていた。
downside,(the ~) 否定的側面; 弱点,The downside of the plan was its great expense.,その企画のマイナス面はとても費用がかかることだった。
repute,評判; 世評,He was known as a doctor of good repute.,彼は評判の良い医師として知られていた。
empower,に自力でやれる能力を付けさせる,The school had a policy of empowering female students.,その学校には女子生徒に自立できる力を与えるという方針があった。
gadget,(小さい)機械; 装置; 器具,He loved gadgets like portable game consoles.,彼は携帯型ゲーム機のような小さな機械が好きだった。
stun,をとても驚かす; ぼうぜんとさせる,She was stunned to hear he had married.,彼女は彼が結婚したと聞いてぼうぜんとした。
unleash,を発散させる; 爆発させる,He unleashed his fury at his assistant.,彼はアシスタントに怒りを爆発させた。
taper,先細になる,The long leaves tapered to a point.,その長い葉は先が細くなってとがっていた。
culminate,(〜で)頂点に達する; 終わる,The novel culminated in a passionate love scene.,その小説は情熱的なラブシーンで頂点に達した。
scrutinate,を綿密［厳密］に検査［吟味］する,"Taking the passport, the official scrutinised it closely.",パスポートを手に取り，係官はそれを綿密に調べた。
frugal,質素な; つましい,The old couple lived a very frugal life.,その老夫婦はとても質素な生活を送った。
fingertip,指先,He pressed the button with his fingertip.,彼は指先でボタンを押した。
eject,を噴出する; を追い出す,"Ejecting clouds of steam, the locomotive set off.",蒸気の煙を吐き出して，機関車は出発した。
degrade,の質を低下させる; の地位を落とす,Constant rainfall had degraded the sculpture.,絶え間ない雨がその彫刻を劣化させていた。
rehabilitate,の名誉を回復させる; を修復する,The dissident was rehabilitated by a court.,その反体制派の人は法廷で名誉を回復した。
invert,を逆さまにする; ひっくり返す,He inverted the table in order to fix it.,彼は修理するためテーブルをひっくり返した。
fume,(通例-s)(悪臭のする)煙; 蒸気; ガス,The garage was filled with exhaust fumes.,ガレージは排気ガスでいっぱいだった。
ailment,(軽いまたは慢性的な)病気,The herb was used to treat many different ailments.,その薬草は多くのさまざまな病気の治療に用いられた。
dwindle,だんだん減少［縮小］する; 衰える,"As his income dwindled, he cut his spending.",収入が減少したので，彼は支出を抑えた。
gape,(-を)ぽかんと口を開けて眺める,The children gaped at the lion.,子どもたちはぽかんと口を開けてライオンを眺めた。
revolutionise,に革命［大変革］を起こす,Digital technology has revolutionised the publishing industry.,デジタル技術は出版業に革命をもたらした。
socialise,を社会生活に適応させる; 交際する,The neglected child had been poorly socialised.,育児放棄されたその子どもはうまく社会生活に適応できていなかった。
automate,をオートメーション化［自動化］する,The factory was now fully automated.,その工場は今や完全にオートメーション化された。
afflict,を(〜で)苦しめる; 悩ます,He was afflicted with a severe allergy.,彼は重度のアレルギーに悩まされていた。
amass,を蓄積する; 集める,The businessman had amassed a large fortune.,その実業家は相当の資産を蓄えていた。
shortcomings,短所; 欠点; 至らない点,He had many shortcomings as a father.,彼には父親として至らない点が多くあった。
embed,を埋め込む,A long pole was embedded in the ground.,長い柱が地面に埋め込まれていた。
delude,を惑わす; 欺く,"Deluded by his promises, she lent him the money.",彼の約束に惑わされて，彼女は彼にお金を貸した。
centralise,を中央集権化する; を集中させる,Power in the state was highly centralised.,その国の権限は高度に中央集権化されていた。
devastate,を荒廃させる; 破壊する,The town was devastated by the fire.,町はその火事で荒廃した。
earthworm,ミミズ,Earthworms are necessary to put oxygen into the soil.,ミミズは土に酸素を送るために必要だ。
facade,(建物の)正面; ファサード; 外見,The building had a beautiful Renaissance facade.,その建物は美しいルネサンス様式のファサードを持っていた。
overstate,を大げさに話す; 誇張する,Overstating one's case is rarely effective.,実情を誇張することが効果的であることはめったにない。
sear,を焦がす; の表面を焼く,He seared his hands fighting the fire.,彼は火事と格闘して両手にやけどを負った。
cerebral cortex,(the-)大脳皮質,His cerebral cortex had been damaged by disease.,彼の大脳皮質は病気で損傷していた。
colonise,を植民地化する,The British colonised the island.,イギリス人はその島を植民地化した。
retard,を遅らせる; 遅くする; を阻害する,In fact the government's policies retarded economic development.,実際のところ政府の方針は経済の発展を遅らせた。
moisten,を湿らせる; 潤す; 少しぬらす,She moistened the cloth and wiped the table.,彼女は扶巾を湿らせてテーブルを拭いた。
submerge,を沈める; を水浸しにする,The captain ordered his men to submerge the submarine.,艦長は部下に潜水艦を潜水させるよう命令した。
incite,を扇動する,He tried to incite his colleagues to strike.,彼はストライキをするよう同僚たちを扇動しようとした。
inaugurate,を就任させる; を開始する,He was inaugurated as the first president of the country.,彼はその国の初代大統領に就任した。
populate,に住み着く; に植民する,Settlers rapidly populated the area.,入植者が急速にその地域に住み着いた。
kindle,に火をつける; をかき立てる,He tried to kindle the driftwood into a fire.,彼はその流木で火をおこそうとした。
irrigate,に水を引く; をかんがいする,They used the river to irrigate their fields.,彼らは畑をかんがいするためにその川を利用した。
besiege,に押し寄せる; を包囲攻撃する,He was besieged with requests for his autograph.,サインを欲しいという依頼が彼に殺到した。
mystify,を惑わす; けむに巻く,Everyone was mystified by the chairman's statement.,会長の発言に皆が当惑した。
